,ID,Date,Category,Invoice Number,Product Code,Customer Code,Destination,QTY,Total Price
0,2529604,28/04/2019,Category5,267,30011006,612,IRQ,750,3334.8225
1,2529605,29/04/2019,Category5,302,30011006,514,BHR,400,3032.824
2,2529606,13/05/2019,Category5,507,30011006,513,BHR,100,749.952
3,2529607,01/06/2019,Category5,795,30011006,5,SYC,100,556.817
4,2529608,03/07/2019,Category5,1184,30011006,560,AFG,20,39.446
5,2529609,28/07/2019,Category5,1554,30011006,603,AZE,3,11.7147
6,2529610,28/07/2019,Category5,1554,30011006,603,AZE,3,11.7147
7,2529611,02/10/2019,Category5,2521,30011006,589,PAK,180,801.09
8,2529612,02/10/2019,Category5,2521,30011006,589,PAK,180,801.09
9,2529613,12/10/2019,Category5,2653,30011006,5,SYC,100,424.874
10,2529614,12/10/2019,Category5,2653,30011006,5,SYC,100,424.874
11,2529615,09/11/2019,Category5,3019,30011006,10,ARE,20,87.84898
12,2529616,09/11/2019,Category5,3019,30011006,10,ARE,20,87.84898
13,2529617,10/12/2019,Category5,3526,30011006,8,IRQ,100,451.328
14,2529618,10/12/2019,Category5,3526,30011006,8,IRQ,100,451.328
15,2529619,16/12/2019,Category5,3624,30011006,7,IRQ,500,2166.67
16,2529620,16/12/2019,Category5,3624,30011006,7,IRQ,500,2166.67
17,2529621,21/12/2019,Category5,3696,30011006,11,QAT,100,500.00044
18,2529622,21/12/2019,Category5,3696,30011006,11,QAT,100,500.00044
19,2529623,28/12/2019,Category5,3791,30011006,514,BHR,800,4877.28
20,2529624,28/12/2019,Category5,3791,30011006,514,BHR,800,4877.28
21,2529625,15/01/2020,Category5,4042,30011006,7,IRQ,750,3375.9225
22,2529626,15/01/2020,Category5,4042,30011006,7,IRQ,750,3375.9225
23,2529627,05/12/2019,Category5,3437,30011006,14,IRQ,5,21.00964
24,2529628,05/12/2019,Category5,3437,30011006,14,IRQ,5,21.00964
25,2529629,09/02/2020,Category5,4379,30011006,7,IRQ,750,3918.375
26,2529630,09/02/2020,Category5,4379,30011006,7,IRQ,750,3918.375
27,2529631,27/02/2020,Category5,4675,30011006,7,IRQ,500,3017.635
28,2529632,27/02/2020,Category5,4675,30011006,7,IRQ,500,3017.635
29,2529633,29/02/2020,Category5,4688,30011006,5,SYC,50,280.8935
30,2529634,29/02/2020,Category5,4688,30011006,5,SYC,50,280.8935
31,2529635,27/04/2020,Category5,292,30011006,7,IRQ,1300,7848.36
32,2529636,27/04/2020,Category5,292,30011006,7,IRQ,1300,7848.36
33,2529637,14/05/2020,Category5,545,30011006,514,BHR,200,1509.728
34,2529638,14/05/2020,Category5,545,30011006,514,BHR,200,1509.728
35,2529639,06/08/2020,Category5,1525,30011006,513,BHR,250,2646.0
36,2529640,15/09/2020,Category5,2156,30011006,7,IRQ,600,5477.598
37,2529641,15/09/2020,Category5,2159,30011006,7,IRQ,350,3195.2655
38,2529642,07/10/2020,Category5,3321,30011006,7,IRQ,340,3842.136
39,2529643,07/10/2020,Category5,3323,30011006,7,IRQ,450,5085.18
40,2529644,26/10/2020,Category5,3695,30011006,19,IRQ,100,1066.185
41,2529645,27/10/2020,Category5,3725,30011006,8,IRQ,250,2665.4625
